Channel,Date,Message
Yeouido_Lab,2025-07-31 23:10:33,"ㄷㄷㄷ... **  [속보] 트럼프, 8월 1일부터 캐나다 관세율 '25%→35%' 행정명령 서명 ****https://www.yna.co.kr/view/AKR20250801022800071?input=1195m**"
Yeouido_Lab,2025-07-31 08:27:38,환영하시는 분은 손 들어서 말씀 부탁드리겠습니다.  https://n.news.naver.com/mnews/article/648/0000038419
Yeouido_Lab,2025-07-31 08:02:46,으음...  **3년만에 법인세 복원...기업에 4.3조 더 걷는다 [바뀌는 세법] ****https://n.news.naver.com/mnews/article/374/0000455036?rc=N&ntype=RANKING&sid=001**  금투세 도입을 전제로 내린 증권거래세율도 2022년 수준으로 복원됩니다. 증권거래세는 수익 여부와 상관없이 주식을 거래했을 때마다 내는 세금입니다.  **2023년 0.05%에서 2024년 0.03%을 거쳐 올해는 0% 적용을 받고 있는 코스피 증권거래세 세율은 다시 0.05%로 조정됩니다. 현행 0.15% 증권거래세가 부과되는 코스닥의 경우 0.2%로 오릅니다.**  상장주식 양도소득세 부과 기준 역시 이전 수준으로 복구됩니다.  **현재는 상장 주식을 팔 때 양도세를 내야 하는 대주주 기준이 종목당 보유액 기준 50억원 이상이지만 이를 10억원 이상으로 대폭 강화합니다.**  '부자 감세'의 정상화를 통해 세수 부족 사태를 바로잡고 과세형평을 제고하겠다는 취지입니다.
Yeouido_Lab,2025-07-31 06:17:06,"안녕하세요. 몇 년만에 카카오 투자의견을 'Buy'로 제시했습니다. 하반기 카카오톡의 개편과 AI Agent 사업은 시장 컨센서스보다 훨씬 더 풍부할 수 있다는 생각입니다. 향후 실적 추정치의 상향 여지가 어디에 있을지, 그리고 카카오 AI Agent의 구독 플랜이 어떠한 구성일지 상상해봤습니다. 인터넷 Top Pick! 많관부.  ————————————————————-  [신한투자증권 인터넷/게임 강석오, 고준혁]  **카카오; AI Agent 시대의 차세대 카카오톡**  **인터넷 업종 Top Pick 제시** (투자의견: '매수' 상향, 목표주가 '8.6만원' 상향)  I. Next Platform: AI Agent 시대의 차세대 카카오톡 - 오픈AI가 카카오톡과 손을 잡은 이유 - AI Agent 사업 가치 추정: ""2027년 500만명"" - 카카오 AI Agent 구독 플랜 예상  II. 톡비즈 사업 개편과 숏폼 도입 - 기존 톡비즈 개편 통한 수익성 확대 - '발견' 탭에 공급할 수 있는 카카오의 다양한 콘텐츠 - 넘치는 IP와 콘텐츠를 숏폼으로 양산할 수 있는 기술  III. 자회사들의 수익성 개선으로 연결 실적 기여 - 카카오페이: 해외 주식 거래 증가로 증권 부문 흑자전환 성공 - 픽코마: 효율적 마케팅 집행 통한 수익성 개선에 집중 - 카카오게임즈: 2025년 실적 저점을 지나 2026년 반등 기대  IV. 중국인 관광객들도 카카오 써요 - 중국인 인바운드 여행객 증가에 따른 수혜 기대 - 카카오페이: 오프라인 QR 결제액 증가 - 카카오모빌리티: 외국인도 카카오 택시 호출할 수 있어요  V. 결론: 아직 주가에 반영되지 않은 여러 부문의 잠재력  신한 인터넷/게임 텔레 채널: https://t.me/seokokang  ※ 원문 확인: http://bbs2.shinhansec.com/board/message/file.pdf.do?attachmentId=338447  위 내용은 2025년 7월 31일 14시 35분 현재 조사분석자료 공표 승인이 이뤄진 내용입니다. 제공해 드린 조사분석자료는 당사 고객에 한하여 배포되는 자료로 어떠한 경우에도 당사의 허락 없이 복사, 대여, 재배포 될 수 없습니다."
Yeouido_Lab,2025-07-31 05:42:25,얼마까지 듣고 오셨냐고 묻지 않을 수가 없는 변동성이다
Yeouido_Lab,2025-07-31 05:09:08,"알테오젠의 파트너사 Daiichi Sankyo가 오늘 분기 실적발표를 했고, 엔허투 SC 임상계획이 소개되어 공유드립니다. 76명의 고형암 환자 대상으로 엔허투 SC의 안전성과 PK를 검증하는 임상입니다."
Yeouido_Lab,2025-07-31 04:37:55,"2025.07.31 13:37:33 기업명: HD현대중공업(시가총액: 44조 1,202억) 보고서명: 연결재무제표기준영업(잠정)실적(공정공시)  매출액 : 41,471억(예상치 : 40,711억+/ 2%) 영업익 : 4,715억(예상치 : 4,637억/ +2%) 순이익 : 2,109억(예상치 : 3,633억/ -42%)  **최근 실적 추이** 2025.2Q 41,471억/ 4,715억/ 2,109억 2025.1Q 38,225억/ 4,337억/ 2,842억 2024.4Q 40,056억/ 2,822억/ 3,666억 2024.3Q 36,092억/ 2,061억/ 722억 2024.2Q 38,840억/ 1,956억/ 1,541억  공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250731800226 회사정보: https://finance.naver.com/item/main.nhn?code=329180"
Yeouido_Lab,2025-07-31 04:37:55,"2025.07.31 13:37:11 기업명: HD한국조선해양(시가총액: 25조 7,260억) 보고서명: 연결재무제표기준영업(잠정)실적(공정공시)  매출액 : 74,284억(예상치 : 73,953억/ 0%) 영업익 : 9,536억(예상치 : 9,082억/ +5%) 순이익 : 3,564억(예상치 : 6,504억/ -45%)  **최근 실적 추이** 2025.2Q 74,284억/ 9,536억/ 3,564억 2025.1Q 67,717억/ 8,592억/ 6,116억 2024.4Q 71,617억/ 4,991억/ 7,271억 2024.3Q 62,458억/ 3,984억/ 1,764억 2024.2Q 66,155억/ 3,765억/ 3,578억  공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250731800222 회사정보: https://finance.naver.com/item/main.nhn?code=009540"
Yeouido_Lab,2025-07-31 04:26:19,"2025.07.31 13:22:21 기업명: HD현대마린엔진(시가총액: 2조 3,982억) 보고서명: 연결재무제표기준영업(잠정)실적(공정공시)  매출액 : 992억(예상치 : 1,025억/ -3%) 영업익 : 175억(예상치 : 129억/ +36%) 순이익 : 166억(예상치 : 99억+/ 68%)  **최근 실적 추이** 2025.2Q 992억/ 175억/ 166억 2025.1Q 830억/ 103억/ 139억 2024.4Q 886억/ 91억/ 502억 2024.3Q 808억/ 88억/ 95억 2024.2Q 851억/ 90억/ 94억  공시링크: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250731800213 회사정보: https://finance.naver.com/item/main.nhn?code=071970"
Yeouido_Lab,2025-07-31 02:50:18,[단독] 유한양행 ‘렉라자’ 중국 허가 취득   - https://naver.me/FgTwdocv
Yeouido_Lab,2025-07-31 02:22:35,"7월 4주차 Tirzepatide vs Semaglutide 처방 갭.  자주 해당 처방 비교 데이터를 올렸었는데, 이번 노보 노디스크의 가이던스 하향이나 점유율 밀리는 부분은 시장에서 알고 있었던 부분이라 비만치료제 산업의 포인트 훼손은 아니라고 생각.  4주차에서는 일시적으로 세마글루타이드 처방이 증가했는데 이 부분은 모방 GLP-1 금지 시한이랑 Tirzepatide 보험 문제 부분이 겹친 것.  결국 비만치료제 시장은 예전에 글에도 쓴 내용처럼 TAM은 갈수록 커지고 있다고 판단. 여러 질병에서 치료 옵션으로 입증이되고 있고 신규 수요는 아직도 엄청 많음."
